requested_index,id,question,type,chapter,right,ta,options_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,imageurl,sohuimg,bestanswer
33729,33729,下列交通违法行为，一次记1分的是什么？,2,1,2,2,"A:驾驶校车在高速公路、城市快速路以外的道路上行驶超过规定时速百分之二十以上未达到百分之五十的, B:驾驶机动车不按规定使用灯光, C:驾驶机动车不按规定超车、让行, D:驾驶机动车在高速公路、城市快速路上违法停车的",驾驶校车在高速公路、城市快速路以外的道路上行驶超过规定时速百分之二十以上未达到百分之五十的,驾驶机动车不按规定使用灯光,驾驶机动车不按规定超车、让行,驾驶机动车在高速公路、城市快速路上违法停车的,,,,,,驾驶校车在高速公路、城市快速路以外的道路上行驶超过规定时速百分之二十以上未达到百分之五十的，一次记6分驾驶机动车不按规定超车、让行，一次记3分驾驶机动车在高速公路、城市快速路上违法停车的，一次记9分《道路交通安全违法行为记分管理办法》规定：驾驶机动车不按规定使用灯光的，一次记1分
33730,33730,关于机动车号牌灭失、丢失或者损毁的，以下说法错误的是什么？,2,1,4,4,"A:机动车所有人应当向登记地车辆管理所申请补领、换领, B:车辆管理所补发、换发号牌，原机动车号牌不变, C:补领、换发号牌期间，申请人可以申领有效期不超过十五日的临时行驶号牌, D:补领、换领机动车号牌的，原机动车号牌可以继续使用",机动车所有人应当向登记地车辆管理所申请补领、换领,车辆管理所补发、换发号牌，原机动车号牌不变,补领、换发号牌期间，申请人可以申领有效期不超过十五日的临时行驶号牌,补领、换领机动车号牌的，原机动车号牌可以继续使用,,,,,,机动车登记证书、行驶证、号牌都是属于机动车相关的证件在登记地的车管所申请补领、换领机动车号牌的，原机动车号牌不得继续使用《机动车登记规定》规定：补发、换发号牌期间，申请人可以申领有效期不超过十五日的临时行驶车号牌补领、换领机动车号牌的，原机动车号牌作废，不得继续使用
33731,33731,下列交通违法行为，一次记9分的是什么？,2,1,3,3,"A:驾驶机动车在高速公路上逆行的, B:驾驶机动车在高速公路上穿越中央分隔带掉头的, C:驾驶机动车在城市快速路上违法停车, D:驾驶载货汽车违反规定载客的",驾驶机动车在高速公路上逆行的,驾驶机动车在高速公路上穿越中央分隔带掉头的,驾驶机动车在城市快速路上违法停车,驾驶载货汽车违反规定载客的,,,,,,驾驶机动车在城市快速路上违法停车的记9分；驾驶机动车在高速公路上逆行的记12分；驾驶机动车在高速公路上穿越中央分隔带掉头的记12分；驾驶载货汽车违反规定载客的记3分《道路交通安全违法行为记分管理办法》第九条：驾驶机动车在高速公路或者城市快速路上违法停车的，一次记9分
33732,33732,下列关于同一机动车所有人名下两辆机动车的号牌号码互换，以下说法正确的是什么？,2,1,4,4,"A:同一机动车在一年内可以多次互换变更机动车号牌号码, B:两辆机动车在不同辖区车辆管理所登记可以申请互换, C:两辆机动车使用性质为营运的可以申请互换, D:申请前两车无未处理的道路交通安全违法和交通事故记录",同一机动车在一年内可以多次互换变更机动车号牌号码,两辆机动车在不同辖区车辆管理所登记可以申请互换,两辆机动车使用性质为营运的可以申请互换,申请前两车无未处理的道路交通安全违法和交通事故记录,,,,,,同一车辆所有人名下的两辆车号牌互换，两辆车必须在同一辖区内的车管所登记、同一号牌种类、且使用性质必须为非营运以上3个条件必须同时满足申请号牌互换前需将车辆所有违法行为和交通事故处理完毕才可以申请互换，一年只能互换一次号牌《机动车登记规定》第二十条：同一机动车所有人名下机动车的号牌号码需要互换，符合以下情形的，可以向登记地车辆管理所申请变更登记：（一）两辆机动车在同一辖区车辆管理所登记；（二）两辆机动车属于同一号牌种类；（三）两辆机动车使用性质为非营运机动车所有人应当确认申请信息，提交机动车所有人身份证明、两辆机动车的登记证书、行驶证、号牌申请前，应当将两车的道路交通安全违法行为和交通事故处理完毕车辆管理所应当自受理之日起一日内，审查提交的证明、凭证，在机动车登记证书上签注变更事项，收回两车的号牌、行驶证，重新核发号牌、行驶证和检验合格标志同一机动车一年内可以互换变更一次机动车号牌号码
33733,33733,关于申请增加轻型牵引挂车准驾车型的要求，以下说法正确的是什么？,2,1,1,1,"A:取得小型汽车、小型自动挡汽车驾驶证一年以上, B:取得小型自动挡汽车驾驶证3年以上, C:本记分周期内和最近连续3个记分周期没有记满12分记录的, D:本记分周期和最近连续一个记分周期有计满12分记录的，已参加满分教育且考试通过",取得小型汽车、小型自动挡汽车驾驶证一年以上,取得小型自动挡汽车驾驶证3年以上,本记分周期内和最近连续3个记分周期没有记满12分记录的,本记分周期和最近连续一个记分周期有计满12分记录的，已参加满分教育且考试通过,,,,,,C1/C2增驾轻型牵引挂车，需取得1年以上的驾驶资格《机动车驾驶证申领和使用规定》第十七条：申请增加轻型牵引挂车准驾车型的，应取得驾驶小型汽车、小型自动挡汽车准驾车型资格一年以上
28102,28102,驾驶机动车在高速公路或者城市快速路上违法占用应急车道行驶的，一次记（）分。,2,1,2,2,"A:3, B:6, C:12, D:1",3,6,12,1,,,,,,《道路交通安全违法行为记分管理办法》第十条：驾驶机动车在高速公路或者城市快速路上违法占用应急车道行驶的，一次记6分。
33734,33734,下列交通违法行为，一次记9分的是什么？,2,1,4,4,"A:使用伪造、变造的机动车号牌或者使用其他机动车号牌的, B:驾驶校车载人超过核定载人数百分之二十以上的, C:代替实际机动车驾驶人接受违法行为处罚和记分谋取经济利益的, D:驾驶7座以上载客汽车载人超过核定载人数百分之五十以上未达到百分百的",使用伪造、变造的机动车号牌或者使用其他机动车号牌的,驾驶校车载人超过核定载人数百分之二十以上的,代替实际机动车驾驶人接受违法行为处罚和记分谋取经济利益的,驾驶7座以上载客汽车载人超过核定载人数百分之五十以上未达到百分百的,,,,,,驾驶7座以上载客汽车载人超过核定人数百分之五十以上未达到百分之百的记9分；驾驶校车载人超过核定人数百分之二十以上的记12分；代替实际机动车驾驶人接受交通违法行为处罚和记分牟取经济利益的记12分；使用伪造、变造的机动车号牌或者使用其他机动车号牌的记12分。《道路交通安全违法行为记分管理办法》规定：驾驶7座以上载客汽车载人超过核定人数百分之五十以上未达到百分之百的，一次记9分。
28104,28104,机动车驾驶人在一个记分周期内累积记分达到12分的，公安机关交通管理部门应当扣留其机动车驾驶证。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,《道路交通安全违法行为记分管理办法》第十七条：机动车驾驶人在一个记分周期内累积记分满12分的，公安机关交通管理部门应当扣留其机动车驾驶证，开具强制措施凭证，并送达满分教育通知书，通知机动车驾驶人参加满分学习、考试。
33736,33736,小型载客汽车驾驶人在一个记分周期内累积记分满12分的，应当参加为期多少天的道路交通安全法律、法规和相关知识学习？,2,1,3,3,"A:3天, B:5天, C:7天, D:10天",3天,5天,7天,10天,,,,,,小型载客汽车驾驶人一个记分周期记满12分需要参加为期7天的满分学习并通过考试。大中型客货车、城市公交车、重型牵引挂车，满分学习应满30天。《道路交通安全违法行为记分管理办法》第十八条：机动车驾驶人在一个记分周期内累积记分满12分的，应当参加为期七天的道路交通安全法律、法规和相关知识学习。
33738,33738,C6车型代号对应的准驾车型是什么？,2,1,4,4,"A:重型牵引挂车, B:中型客车, C:小型自动车汽车, D:轻型牵引挂车",重型牵引挂车,中型客车,小型自动车汽车,轻型牵引挂车,,,,,,C6车型代号的准驾车型是轻型牵引挂车；重型牵引挂车是A2；中型客车是B1；小型自动挡汽车是C2
33739,33739,机动车驾驶人在一个记分周期内累积记满多少分的，公安机关交通管理部门将通知其参加满分学习、考试？,2,1,3,3,"A:6分, B:9分, C:12分, D:24分",6分,9分,12分,24分,,,,,,本题考点为记12分相关内容。《道路交通安全违法行为记分管理办法》第十七条：机动车驾驶人在一个记分周期内累积记分满12分的，公安机关交通管理部门应当扣留其机动车驾驶证，开具强制措施凭证，并送达满分教育通知书，通知机动车驾驶人参加满分学习、考试。
33740,33740,轻型牵引挂车对应的车型代号是什么？,2,1,4,4,"A:C1, B:C2, C:C5, D:C6",C1,C2,C5,C6,,,,,,C1车型代号的准驾车型是小型汽车；C2车型代号的准驾车型是小型自动挡汽车；C5车型代号的准驾车型是残疾人专用小型自动挡载客汽车；C6车型代号的准驾车型是轻型牵引挂车
33741,33741,年龄在70周岁以上的驾驶人应每（）提交一次身体条件证明。,2,1,2,2,"A:2年, B:1年, C:3年, D:6个月",2年,1年,3年,6个月,,,,,,年龄在70周岁以上的机动车驾驶人，应当每年进行一次身体检查，目的是检查是否患有妨碍安全驾驶的疾病《机动车驾驶证申领和使用规定》第七十四条：年龄在70周岁以上的机动车驾驶人，应当每年进行一次身体检查
24270,24270,机动车驾驶人由摩托车类准驾车型增加汽车类准驾车型后的多长时间为实习期？,2,1,2,2,"A:6个月, B:12个月, C:3个月, D:2年",6个月,12个月,3个月,2年,,,,,,机动车驾驶人初次取得汽车类准驾车型或者初次取得摩托车类准驾车型后的12个月为实习期，所以选择12个月。《机动车驾驶证申领和使用规定》第七十六条：机动车驾驶人初次取得汽车类准驾车型或者初次取得摩托车类准驾车型后的12个月为实习期。
33743,33743,使用伪造、变造的行驶证、驾驶证的，一次记几分？,2,1,4,4,"A:3分, B:6分, C:9分, D:12分",3分,6分,9分,12分,,,,,,本题考点为记12分相关内容。《道路交通安全违法行为记分管理办法》第八条：使用伪造、变造的机动车号牌、行驶证、驾驶证、校车标牌或者使用其他机动车号牌、行驶证的，一次记12分。
33745,33745,驾驶校车、公路客运汽车、旅游客运汽车载人超过核定人数多少以上的，一次记12分？,2,1,4,4,"A:百分之五, B:百分之十, C:百分之十五, D:百分之二十",百分之五,百分之十,百分之十五,百分之二十,,,,,,驾驶校车、公路客运汽车、旅游客运汽车载人超过核定人数百分之二十以上的，记12分。《道路交通安全违法行为记分管理办法》第八条：驾驶校车、公路客运汽车、旅游客运汽车载人超过核定人数百分之二十以上，一次记12分。
26066,26066,机动车驾驶人在一个记分周期内累积记分满24分未满36分的，应当在道路交通安全法律、法规和相关知识考试合格后，按规定预约参加场地驾驶技能考试。,1,1,2,2,"A:正确, B:错误",正确,错误,,,,,,,,机动车驾驶人在一个记分周期内二次累积记分满12分或累积记分满24分但未满36分的，应当在道路交通安全法律、法规和相关知识考试合格后，参加道路驾驶技能考试，题目中说的参加场地驾驶技能考试，所以选择错误《道路交通安全违法行为记分管理办法》规定：机动车驾驶人在一个记分周期内二次累积记分满12分或累积记分满24分但未满36分的，应当在道路交通安全法律、法规和相关知识考试合格后，参加道路驾驶技能考试题目中说的参加场地驾驶技能考试，所以本题是错误的
33747,33747,在最近几个记分周期内，机动车驾驶人饮酒后驾驶机动车受到过处罚的，不得通过接受交通安全教育扣减交通违法行为记分？,2,1,3,3,"A:1个, B:2个, C:3个, D:4个",1个,2个,3个,4个,,,,,,本题考点为记分减免相关内容。驾驶人饮酒驾车受过处罚的，在最近3个记分周期内不得通过接受交通安全教育扣减交通违法行为记分。《道路交通安全违法行为记分管理办法》第二十六条：机动车驾驶人申请接受交通安全教育扣减交通违法行为记分的，公安机关交通管理部门应当受理。但有以下情形之一的，不予受理：在最近三个记分周期内，机动车驾驶人因造成交通事故后逃逸，或者饮酒后驾驶机动车，或者使用伪造、变造的机动车号牌、行驶证、驾驶证、校车标牌，或者使用其他机动车号牌、行驶证，或者买分卖分受到过处罚的。
33748,33748,中型客车对应的驾驶证准驾车型代号是（）。,2,1,3,3,"A:A1, B:A2, C:B1, D:B2",A1,A2,B1,B2,,,,,,中型客车准驾车型代号是B1；大型货车准驾车型代号是B2；大型客车准驾车型代号是A1；重型牵引挂车准驾车型代号是A2
33749,33749,驾驶机动车在高速公路或者城市快速路上不按规定车道行驶的，一次记几分？,2,1,1,1,"A:3分, B:6分, C:9分, D:12分",3分,6分,9分,12分,,,,,,驾驶机动车在高速公路或者城市快速路上不按规定车道行驶的记3分。《道路交通安全违法行为记分管理办法》规定：驾驶机动车在高速公路或者城市快速路上不按规定车道行驶的，一次记3分。
27098,27098,申请小型汽车驾驶证的，年龄应在18周岁以上。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,申请小型汽车驾驶证的，年龄应在18周岁以上，无年龄上限，所以选择正确。《机动车驾驶证申领和使用规定》第十四条：申请小型汽车、小型自动挡汽车、残疾人专用小型自动挡载客汽车、轻便摩托车准驾车型的，在18周岁以上。
27101,27101,驾驶人有下列哪种违法行为一次记9分？,2,1,2,2,"A:驾驶载货汽车超载50%以上的, B:驾驶机动车在城市快速路上违法停车, C:运载超限物品未按指定路线行驶的, D:驾驶证被暂扣期间驾驶机动车的",驾驶载货汽车超载50%以上的,驾驶机动车在城市快速路上违法停车,运载超限物品未按指定路线行驶的,驾驶证被暂扣期间驾驶机动车的,,,,,,驾驶机动车在高速公路或城市快速路上违法停车的，一次记9分；驾驶载货汽车超载50%以上的，一次记6分；驾驶证被暂扣期间驾驶机动车的，一次记6分驾驶机动车运载超限的不可解体的物品，未按指定的时间、路线、速度行驶的，一次记6分题中问记9分的，所以选择驾驶机动车在城市快速路上违法停车《道路交通安全违法行为记分管理办法》规定：驾驶机动车在高速公路或城市快速路上违法停车的，一次记9分
27103,27103,年龄在70周岁以上的机动车驾驶人审验时应当按照规定进行记忆力、判断力、反应力等能力测试。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,年龄在70周岁以上的机动车驾驶人审验时应当按照规定进行记忆力、判断力、反应力等能力测试（三力测试），所以选择正确。《机动车驾驶证申领和使用规定》第七十三条：年龄在70周岁以上的机动车驾驶人审验时还应当按照规定进行记忆力、判断力、反应力等能力测试。
27108,27108,饮酒后驾驶机动车的一次记6分。,1,1,2,2,"A:正确, B:错误",正确,错误,,,,,,,,酒后驾车是很严重的违法行为，会被记12分。题中说6分，是错误的。《道路交通安全违法行为记分管理办法》第八条：饮酒后驾驶机动车的，一次记12分。
193764,193764,驾驶人在实习期内驾驶机动车上高速公路行驶，应由持相应或者更高准驾车型驾驶证一年以上的驾驶人陪同。,1,1,2,2,"A:正确, B:错误",正确,错误,,,,,,,,实习期在相应或包含准驾车型驾驶证3年以上的驾驶人陪同的情况下，可以驾车上高速行驶，题中说一年是错的。《机动车驾驶证申领和使用规定》：初次领证的驾驶人在12个月的实习期内驾驶机动车上高速公路行驶，必须有三年以上驾龄的司机陪同，否则将处以计分罚款，并由交警带离高速公路。
33510,33510,记分满12分的驾驶人拒不参加学习和考试的将被公告驾驶证停止使用。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,一个记分周期记满12分，会收到满分教育通知。接到通知逾期不参加满分学习和考试，驾驶将被公告停止使用。《道路交通安全法实施条例》规定：机动车驾驶人记分满12分，拒不参加公安机关交通管理部门通知的学习和考试的，由公安机关交通管理部门告其机动车驾驶证停止使用。
27111,27111,机动车未按照规定期限进行安全技术检验的，由公安机关交通管理部门处警告或者二百元以下罚款。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,《机动车登记规定》第七十八条：机动车未按照规定期限进行安全技术检验的，由公安机关交通管理部门处警告或者二百元以下罚款。
27112,27112,在道路上车辆发生故障、事故停车后，不按规定使用灯光或者设置警告标志的，一次记1分。,1,1,2,2,"A:正确, B:错误",正确,错误,,,,,,,,在道路上车辆发生故障、事故停车后，不按规定使用灯光或者设置警告标志的，记3分。题中说1分，是错误的。《道路交通安全违法行为记分管理办法》第十一条：在道路上车辆发生故障、事故停车后，不按规定使用灯光或者设置警告标志的，一次记3分。
27114,27114,驾驶机动车行经人行横道，不按规定减速、停车、避让行人的，一次记3分。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,《道路交通安全违法行为记分管理办法》第十一条：驾驶机动车行经人行横道不按规定减速、停车、避让行人的，一次记3分。
225514,225514,小型汽车驾驶人发生交通事故造成人员死亡，承担同等以上责任未被吊销驾驶证的，不需要接受审验。,1,1,2,2,"A:正确, B:错误",正确,错误,,,,,,,,持有小型汽车驾驶证的驾驶人，发生交通事故造成人员死亡承担同等以上责任未被吊销机动车驾驶证的，应当在本记分周期结束后三十日内到公安机关交通管理部门接受审验《机动车驾驶证申领和使用规定》第七十二条：持有小型汽车驾驶证的驾驶人，发生交通事故造成人员死亡承担同等以上责任未被吊销机动车驾驶证的，应当在本记分周期结束后三十日内到公安机关交通管理部门接受审验
33515,33515,参加公安机关交通管理部门组织的道路交通安全法律、法规和相关知识网上学习三日内累计满三十分钟且考试合格的，一次扣减一分交通违法行为记分。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,《道路交通安全违法行为记分管理办法》第二十七条：参加公安机关交通管理部门组织的道路交通安全法律、法规和相关知识网上学习三日内累计满三十分钟且考试合格的，一次扣减1分。
33519,33519,驾驶人可以通过“交管12123”APP或互联网交通安全综合服务管理平台申请电子版驾驶证。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,机动车驾驶证电子版与纸质版具有同等效力《机动车驾驶证申领和使用规定》第六十一条：公安机关交通管理部门应当实行机动车驾驶证电子化，机动车驾驶人可以通过互联网交通安全综合服务管理平台申请机动车驾驶证电子版
27121,27121,下列交通违法行为，一次记9分的是什么？,2,1,2,2,"A:驾驶机动车不按交通信号灯指示通行的, B:驾驶故意遮挡、污损机动车号牌的机动车上道路行驶的, C:造成致人轻微伤或者财产损失的交通事故后逃逸，尚不构成犯罪的, D:机动车驾驶证被暂扣或者扣留期间驾驶机动车的",驾驶机动车不按交通信号灯指示通行的,驾驶故意遮挡、污损机动车号牌的机动车上道路行驶的,造成致人轻微伤或者财产损失的交通事故后逃逸，尚不构成犯罪的,机动车驾驶证被暂扣或者扣留期间驾驶机动车的,,,,,,驾驶故意遮挡、污损机动车号牌的机动车上道路行驶的，记9分。不按交通信号灯指示通行的，记6分。致轻微伤或财产损失逃逸尚不构成犯罪的，记6分。机动车驾驶证被暂扣或者扣留期间驾驶机动车的，记6分。《道路交通安全违法行为记分管理办法》规定：驾驶未悬挂机动车号牌或者故意遮挡、污损机动车号牌的机动车上道路行驶的，一次记9分。
225523,225523,在学习驾驶证明的有效期内，第5次科目二考试仍不合格的，已考试合格的其他科目成绩作废。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,学习驾驶证明有效期内，科目二和科目三道路驾驶技能考试预约考试的次数分别不得超过五次第五次考试仍不合格的，已考试合格的其他科目成绩作废
27125,27125,驾驶机动车追逐竞驶、超员、超速、违反危险化学品安全管理规定运输危险化学品构成犯罪依法被吊销机动车驾驶证未满五年的，不得申请机动车驾驶证。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,《机动车驾驶证申领和使用规定》：驾驶机动车追逐竞驶、超员、超速、违反危险化学品安全管理规定运输危险化学品构成犯罪依法被吊销机动车驾驶证未满五年的，不得申请机动车驾驶证。
246,246,初次申领驾驶证的有效期为（）年。,2,1,3,3,"A:3, B:5, C:6, D:12",3,5,6,12,,,,,,初次申请驾驶证的有效期为6年，每个周期内均未达到12分的，可换发10年有效期驾驶证，最后换发长期有效的驾驶证题中问初次申领，所以选择6年《中华人民共和国道路交通安全法实施条例》第二十二条：机动车驾驶证的有效期为6年，本条例另有规定的除外
33526,33526,驾驶校车、中型以上载客载货汽车，危险物品运输车辆以外的机动车在高速公路、城市快速路以外的道路上行驶超过规定时速百分之六十的，一次记6分。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,注意题干中有2个以外。《道路交通安全违法行为记分管理办法》规定：驾驶校车、中型以上载客载货汽车、危险物品运输车辆以外的机动车在高速公路、城市快速路以外的道路上行驶超过规定时速百分之五十以上的，一次记6分。
247,247,准驾车型为小型汽车的，可以驾驶下列哪种车辆？,2,1,1,1,"A:低速载货汽车, B:中型客车, C:三轮摩托车, D:轮式自行机械车",低速载货汽车,中型客车,三轮摩托车,轮式自行机械车,,,,,,准驾车型为小型汽车（C1）的，可以驾驶小型自动挡汽车（C2）、低速载货汽车（C3）、三轮汽车（C4），所以选择低速载货汽车。
248,248,准驾车型为小型自动挡汽车的，可以驾驶以下哪种车型？,2,1,4,4,"A:低速载货汽车, B:小型汽车, C:二轮摩托车, D:轻型自动挡载货汽车",低速载货汽车,小型汽车,二轮摩托车,轻型自动挡载货汽车,,,,,,准驾车型为小型自动挡汽车（C2）的，可以驾驶小型、微型自动挡载客汽车以及轻型、微型自动挡载货汽车，所以选择轻型自动载货汽车。
249,249,驾驶人在机动车驾驶证的6年有效期内，每个记分周期均未达到12分的，换发10年有效期的机动车驾驶证。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,初次申请驾驶证的有效期为6年，每个周期内均未达到12分的，可换发10年有效期驾驶证，所以选择正确。《中华人民共和国道路交通安全法实施条例》第二十六条：机动车驾驶人在机动车驾驶证的6年有效期内，每个记分周期均未达到12分的，换发10年有效期的机动车驾驶证；在机动车驾驶证的10年有效期内，每个记分周期均未达到12分的，换发长期有效的机动车驾驶证。
250,250,机动车驾驶证有效期分为6年、10年、20年。,1,1,2,2,"A:正确, B:错误",,,,,,,,,,机动车驾驶证有效期分为六年、十年和长期，而不是20年，所以选择错误。《机动车驾驶证申领和使用规定》第十三：机动车驾驶证有效期分为六年、十年和长期。
7674,7674,年龄在70周岁以上，在一个记分周期结束后一年内未提交身体条件证明的，其机动车驾驶证将会被车辆管理所注销。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,年龄在70周岁以上，在一个记分周期结束后一年内未提交身体条件证明的，车辆管理所应当注销其机动车驾驶证，所以选择正确。《机动车驾驶证申领和使用规定》第七十九条：年龄在70周岁以上，在一个记分周期结束后一年内未提交身体条件证明的，车辆管理所应当注销其机动车驾驶证。
251,251,准驾车型为小型汽车的，可以驾驶小型自动挡载客汽车。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,准驾车型为小型汽车（C1）的，可以驾驶小型自动挡汽车（C2）、低速载货汽车（C3）、三轮汽车（C4），所以选择正确。
33531,33531,代替实际机动车驾驶人接受交通违法行为处罚和记分牟取经济利益的，一次记12分。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,《道路交通安全违法行为记分管理办法》第八条：代替实际机动车驾驶人接受交通违法行为处罚和记分牟取经济利益的，一次记12分。
252,252,准驾车型为小型自动挡汽车的，可以驾驶低速载货汽车。,1,1,2,2,"A:正确, B:错误",,,,,,,,,,准驾车型为小型自动挡汽车（C2）的，可以驾驶小型、微型自动挡载客汽车以及轻型、微型自动挡载货汽车，不包括低速载货汽车，所以选择错误。
7676,7676,持有小型汽车驾驶证的驾驶人，发生交通事故造成人员死亡承担同等以上责任未被吊销机动车驾驶证的，应当在本记分周期结束后三十日内到公安机关交通管理部门接受审验，同时应当申报身体条件情况。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,持有大型客车、重型牵引挂车、城市公交车、中型客车、大型货车以外（小型汽车包含在这个范围内）准驾车型驾驶证的驾驶人，发生交通事故造成人员死亡承担同等以上责任未被吊销机动车驾驶证的，应当在本记分周期结束后三十日内到公安机关交通管理部门接受审验，同时应当申报身体条件情况，所以选择正确。《机动车驾驶证申领和使用规定》第七十二条：持有第三款规定以外准驾车型驾驶证的驾驶人，发生交通事故造成人员死亡承担同等以上责任未被吊销机动车驾驶证的，应当在本记分周期结束后三十日内到公安机关交通管理部门接受审验。第三款准驾车型包括：大型客车、重型牵引挂车、城市公交车、中型客车、大型货车。
253,253,初次申领的机动车驾驶证的有效期为6年。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,初次申领的驾驶证有效期为6年，所以选择正确。《机动车驾驶证申领和使用规定》第十三：机动车驾驶证有效期分为六年、十年和长期。
254,254,初次申领的机动车驾驶证的有效期为3年。,1,1,2,2,"A:正确, B:错误",,,,,,,,,,初次申领的驾驶证有效期为6年，而不是3年，所以选择错误《机动车驾驶证申领和使用规定》第十三条：机动车驾驶证有效期分为六年、十年和长期
255,255,初次申领机动车驾驶证的，可以申请下列哪种准驾车型？,2,1,3,3,"A:中型客车, B:大型客车, C:普通三轮摩托车, D:重型牵引挂车",中型客车,大型客车,普通三轮摩托车,重型牵引挂车,,,,,,初次驾驶证的，可以申请普通三轮摩托车；中型客车、大型客车和牵引车是已持有机动车驾驶证后，申请增加的准驾车型题中问初次申领，所以选择普通三轮摩托车《机动车驾驶证申领和使用规定》第十六条：初次申领机动车驾驶证的，可以申请准驾车型为城市公交车、大型货车、小型汽车、小型自动挡汽车、低速载货汽车、三轮汽车、残疾人专用小型自动挡载客汽车、普通三轮摩托车、普通二轮摩托车、轻便摩托车、轮式专用机械车、无轨电车、有轨电车的机动车驾驶证
2560,2560,专用车道规定的专用使用时间之外，其他车辆可以进入专用车道行驶。,1,2,1,1,"A:正确, B:错误",正确,错误,,,,,,,,本题考点为专用车道。专用车道，在规定时间内只准许规定的车辆通行，其他车辆不得进入专用车道内行驶。在规定时间之外，其他车辆可以进入行驶。《道路交通安全法》第三十七条：道路划设专用车道的，在专用车道内，只准许规定的车辆通行，其他车辆不得进入专用车道内行驶。
225536,225536,雾天驾车时，如何使用灯光？,2,2,4,4,"A:使用右转向灯, B:使用远光灯, C:不使用灯光, D:使用雾灯和危险报警闪光灯",使用右转向灯,使用远光灯,不使用灯光,使用雾灯和危险报警闪光灯,,,,https://wos.58cdn.com.cn/XyVuTsRqXyf/question/225536-1760949918055.jpg,,雾天应开启雾灯和危险报警闪光灯《道路交通安全法实施条例》第五十八条：机动车雾天行驶应当开启雾灯和危险报警闪光灯
513,513,指路标志的作用是什么？,2,2,3,3,"A:限制车辆通行, B:提示限速信息, C:提供方向信息, D:警告前方危险",限制车辆通行,提示限速信息,提供方向信息,警告前方危险,,,,,,指路表示道路信息的指引，为驾驶人提供去往目的地所经过的道路、沿途相关城镇、重要公共设施、服务设施、地点、距离和行车方向等信息。指路标志不应指引私人专属或商用目的地信息。所以选择提供方向信息。
2561,2561,如图所示，机动车在这种道路上行驶，在道路中间通行的原因是什么?,2,2,3,3,"A:在道路中间通行速度快, B:在道路中间通行视线好, C:给两侧的非机动车和行人留有充足的通行空间, D:防止车辆冲出路外",在道路中间通行速度快,在道路中间通行视线好,给两侧的非机动车和行人留有充足的通行空间,防止车辆冲出路外,,,,https://wos.58cdn.com.cn/XyVuTsRqXyf/question/2561-1693899401892.jpg,,本题考点为通行规则。图中是没有中心线的道路，并且有行人和非机动车通行。根据通行规则，机动车要在道路中间通行，是为了给两侧的非机动车和行人留出充足的通行空间。
225537,225537,图中路段可以掉头。,1,2,1,1,"A:正确, B:错误",正确,错误,,,,,,https://wos.58cdn.com.cn/XyVuTsRqXyf/question/225537-1760949955744.jpg,,图中路面中心线是黄虚线，虚线可以跨越掉头所以本题选正确《道路交通安全法实施条例》第四十九条：机动车在没有禁止掉头或者没有禁止左转弯标志、标线的地点可以掉头，但不得妨碍正常行驶的其他车辆和行人的通行
225538,225538,图中路段禁止鸣喇叭。,1,2,1,1,"A:正确, B:错误",正确,错误,,,,,,https://wos.58cdn.com.cn/XyVuTsRqXyf/question/225538-1760950072444.jpg,,图中右侧标志是禁止鸣喇叭，题中说禁止鸣喇叭，选正确《道路交通安全法实施条例》第六十二条：驾驶机动车不得有在禁止鸣喇叭的区域或者路段鸣喇叭的行为
33538,33538,驾驶机动车不得有拨打接听手持电话、观看电视等妨碍安全驾驶的行为。,1,2,1,1,"A:正确, B:错误",正确,错误,,,,,,,,在行车中一边开车边接打电话、观看视频的行为会分散驾驶人的注意力，这个行为非常危险。所以本题选正确。《道路交通安全法实施条例》第六十二条：驾驶机动车不得有拨打接听手持电话、观看电视等妨碍安全驾驶的行为。
515,515,这个标志是何含义？,2,2,2,2,"A:地点和距离预告, B:十字交叉路口预告, C:分道信息预告, D:道路分岔处预告",地点和距离预告,十字交叉路口预告,分道信息预告,道路分岔处预告,,,,https://wos.58cdn.com.cn/XyVuTsRqXyf/question/515-1693897577103.jpg,,图中标志为方形蓝色底，有白色十字，并标注各方向的路名与距离信息，是指路标志中的十字交叉路口预告。白色十字代表十字路口，该标志用以预告前方十字交叉路口形式、交叉道路的编号或名称、通往方向、路线方向等信息。
